Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"RAD54L, HR54, HRAD54","RAD54, S. cerevisiae, homolog-like",603615,"{Breast cancer, invasive ductal}",114480,AD,-,RAD54L
FAAH,Fatty acid amide hydrolase,602935,"{Drug addiction, susceptibility to}",606581,-,-,FAAH
"STIL, SIL, MCPH7",SCL/TAL1-interrupting locus,181590,"Microcephaly 7, primary, autosomal recessive",612703,AR,within about 250kb of SCL,STIL
"FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11",Forkhead box E3,601094,"Anterior segment dysgenesis 2, multiple subtypes",610256,AR,-,FOXE3
"FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11",Forkhead box E3,601094,"Cataract 34, multiple types",612968,-,-,FOXE3
"FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11",Forkhead box E3,601094,"{Aortic aneurysm, familial thoracic 11, susceptibility to}",617349,AD,-,FOXE3
"ORC1, ORC1L","Origin recognition complex, subunit 1, S. cerevisiae, homolog",601902,Meier-Gorlin syndrome 1,224690,AR,-,ORC1
"COA7, RESA1, SELRC1, C1orf163",Cytochrome C oxidase assembly factor,615623,?Mitochondrial complex IV deficiency,220110,"Mi,AR",mutation identified in 1 COX4D patient,COA7
SCP2,Sterol carrier protein-2,184755,?Leukoencephalopathy with dystonia and motor neuropathy,613724,AR,mutation identified in 1 LKDMN patient,SCP2
"CPT2, IIAE4",Carnitine palmitoyltransferase II,600650,"CPT II deficiency, infantile",600649,AR,formerly at 1p13,CPT2
"CPT2, IIAE4",Carnitine palmitoyltransferase II,600650,"CPT II deficiency, lethal neonatal",608836,AR,-,CPT2
"CPT2, IIAE4",Carnitine palmitoyltransferase II,600650,"CPT II deficiency, myopathic, stress-induced",255110,"AD,AR",-,CPT2
"CPT2, IIAE4",Carnitine palmitoyltransferase II,600650,"{Encephalopathy, acute, infection-induced, 4, susceptibility to}",614212,"AD,AR",-,CPT2
"LRP8, APOER2, MCI1",Low density lipoprotein receptor-related protein 8 (Apolipoprotein E receptor 2),602600,"{Myocardial infarction, susceptibility to}",608446,-,-,LRP8
"DHCR24, KIAA0018",24-dehydrocholesterol reductase,606418,Desmosterolosis,602398,AR,-,DHCR24
BSND,Barttin,606412,"Bartter syndrome, type 4a",602522,AR,-,BSND
BSND,Barttin,606412,Sensorineural deafness with mild renal dysfunction,602522,AR,-,BSND
"PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1","Proprotein convertase, subtilisin/kexin-type, 9",607786,"Hypercholesterolemia, familial, 3",603776,-,-,PCSK9
"PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1","Proprotein convertase, subtilisin/kexin-type, 9",607786,{Low density lipoprotein cholesterol level QTL 1},603776,-,-,PCSK9
C8A,"Complement component-8, alpha polypeptide",120950,"C8 deficiency, type I",613790,AR,-,C8A
C8B,"Complement component-8, beta polypeptide",120960,"C8 deficiency, type II",613789,AR,-,C8B
"DAB1, SCA37","Disabled, Drosophila, homolog 1",603448,Spinocerebellar ataxia 37,615945,AD,-,DAB1
"TACSTD2, TROP2, M1S1",Tumor-associated calcium signal transducer 2,137290,"Corneal dystrophy, gelatinous drop-like",204870,AR,-,TACSTD2
"OPHLC, C1DUPp31.3, DUP1p31.3",Omphalocele due to duplication of 1p31.3,164750,Omphalocele due to duplication of 1p31.3,164750,AD,duplication of 710kb at 1p31.3,OPHLC
"NFIA, BRMUTD",Nuclear factor I/A,600727,Brain malformations with or without urinary tract defects,613735,IC,-,NFIA
"DOCK7, KIAA1771, EIEE23",Dedicator of cytokinesis 7,615730,"Epileptic encephalopathy, early infantile, 23",615859,AR,-,DOCK7
"ANGPTL3, ANGPT5, FHBL2",Angiopoietin-like 3,604774,"Hypobetalipoproteinemia, familial, 2",605019,AR,-,ANGPTL3
"FOXD3, AIS1, VAMAS2",Forkhead box D3,611539,"{Autoimmune disease, susceptibility to, 1}",607836,AD,-,FOXD3
"ALG6, CDG1C","Alg6, S. cerevisiae, homolog of",604566,"Congenital disorder of glycosylation, type Ic",603147,AR,-,ALG6
"PGM1, GSD14, CDG1T",Phosphoglucomutase-1,171900,"Congenital disorder of glycosylation, type It",614921,AR,distal to ACADM; formerly 1p22.1,PGM1
"ROR1, NTRKR1",Receptor tyrosine kinase-like orphan receptor 1,602336,"?Deafness, autosomal recessive 108",617654,AR,mutation identified in 1 DFNB108 family,ROR1
"DNAJC6, DJC6, KIAA0473, PARK19","DNAJ, E. coli, homolog of, subfamily C, member 6",608375,"Parkinson disease 19a, juvenile-onset",615528,AR,-,DNAJC6
"DNAJC6, DJC6, KIAA0473, PARK19","DNAJ, E. coli, homolog of, subfamily C, member 6",608375,"Parkinson disease 19b, early-onset",615528,AR,-,DNAJC6
"LEPR, OBR, LEPRD",Leptin receptor,601007,"Obesity, morbid, due to leptin receptor deficiency",614963,-,-,LEPR
"SLC35D1, UGTREL7, KIAA0260, SHNKND","Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1",610804,Schneckenbecken dysplasia,269250,AR,-,SLC35D1
"IL23R, IBD17",Interleukin 23 receptor,607562,"{Inflammatory bowel disease 17, protection against}",612261,-,-,IL23R
"IL23R, IBD17",Interleukin 23 receptor,607562,"{Psoriasis, protection against}",605606,-,-,IL23R
"RPE65, RP20, LCA2","Retinal pigment epithelium-specific protein, 65kD",180069,Leber congenital amaurosis 2,204100,AR,-,RPE65
"RPE65, RP20, LCA2","Retinal pigment epithelium-specific protein, 65kD",180069,Retinitis pigmentosa 20,613794,AR,-,RPE65
CTH,Cystathionine gamma-lyase,607657,Cystathioninuria,219500,AR,previously assigned to chr.16,CTH
CTH,Cystathionine gamma-lyase,607657,"Homocysteine, total plasma, elevated",-,-,-,CTH
"TNNI3K, CCDD",TNNI3-interacting kinase,613932,?Cardiac conduction disease with or without dilated cardiomyopathy,616117,AD,mutation identified in 1 CCDD family,TNNI3K
"ACADM, MCAD","Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain",607008,"Acyl-CoA dehydrogenase, medium chain, deficiency of",201450,AR,-,ACADM
"NEXN, NELIN, CMD1CC, CMH20","Nexilin, rat, homolog of",613121,"Cardiomyopathy, dilated, 1CC",613122,AD,-,NEXN
"NEXN, NELIN, CMD1CC, CMH20","Nexilin, rat, homolog of",613121,"Cardiomyopathy, hypertrophic, 20",613876,AD,-,NEXN
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,?Immunodeficiency 37,616098,AR,mutation identified in 1 IMD37 patient,BCL10
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,"Lymphoma, MALT, somatic",137245,-,-,BCL10
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,"{Lymphoma, follicular, somatic}",605027,-,-,BCL10
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,"{Male germ cell tumor, somatic},",273300,-,-,BCL10
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,"{Mesothelioma, somatic}",156240,-,-,BCL10
"BCL10, IMD37",B-cell leukemia/lymphoma 10,603517,"{Sezary syndrome, somatic}",-,-,-,BCL10
"ZNF644, MYP21",Zinc finger protein 644,614159,"Myopia 21, autosomal dominant",614167,AD,-,ZNF644
"HFM1, MER3, POF9","Hfm1, ATP-dependent DNA helicase, S. cerevisiae, homolog of",615684,Premature ovarian failure 9,615724,AR,-,HFM1
"BRDT, SPGF21","Bromodomain, testis-specific",602144,?Spermatogenic failure 21,617644,AR,mutation identified in 1 SPGF21 patient,BRDT
"GLML, GVM, VMGLOM",Glomulin,601749,Glomuvenous malformations,138000,AD,-,GLML
"GFI1, ZNF163, SCN2",Growth factor independent 1,600871,"?Neutropenia, nonimmune chronic idiopathic, of adults",607847,AD,mutation identified in 1 SCN2 patient and 1 NICINA patient,GFI1
"GFI1, ZNF163, SCN2",Growth factor independent 1,600871,"?Neutropenia, severe congenital 2, autosomal dominant",613107,AD,-,GFI1
"RPL5, DBA6",Ribosomal protein L5,603634,Diamond-Blackfan anemia 6,612561,AD,-,RPL5
"GCLM, GLCLR","Glutamate-cysteine ligase, modifier subunit",601176,"{Myocardial infarction, susceptibility to}",608446,-,-,GCLM
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,Cone-rod dystrophy 3,604116,-,-,ABCA4
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,Fundus flavimaculatus,248200,AR,-,ABCA4
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,"Retinal dystrophy, early-onset severe",248200,AR,-,ABCA4
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,Retinitis pigmentosa 19,601718,AR,-,ABCA4
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,Stargardt disease 1,248200,AR,-,ABCA4
"ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2","ATP-binding transporter, retina-specific",601691,"{Macular degeneration, age-related, 2}",153800,AD,-,ABCA4
"ABCD3, PXMP1, PMP70, CBAS5","ATP-binding cassette, subfamily D, member 3 (peroxisomal membrane protein 1, 70kD)",170995,"?Bile acid synthesis defect, congenital, 5",616278,AR,mutation identified in 1 CBAS5 family,ABCD3
"ALG14, CMS15","Alg14, S. cerevisiae, homolog of",612866,"?Myasthenic syndrome, congenital, 15, without tubular aggregates",616227,-,mutation identified in 1 CMSWTA family,ALG14
"DPYD, DPD",Dihydropyrimidine dehydrogenase,612779,5-fluorouracil toxicity,274270,AR,-,DPYD
"DPYD, DPD",Dihydropyrimidine dehydrogenase,612779,Dihydropyrimidine dehydrogenase deficiency,274270,AR,-,DPYD
"AGL, GDE","Amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme)",610860,Glycogen storage disease IIIa,232400,AR,-,AGL
"AGL, GDE","Amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme)",610860,Glycogen storage disease IIIb,232400,AR,-,AGL
"SLC35A3, AMRS","Solute carrier family 35 (UDP-GlcNAc transporter), member 3",605632,"?Arthrogryposis, mental retardation, and seizures",615553,AR,mutation identified in 1 family,SLC35A3
"SASS6, SAS6, MCPH14",SAS-6 centriolar assembly protein,609321,"?Microcephaly 14, primary, autosomal recessive",616402,AR,mutation identified in 1 MCPH14 family,SASS6
"DBT, BCATE2",Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex),248610,"Maple syrup urine disease, type II",248600,AR,pseudogene on 3q24,DBT
"CDC14A, DFNB105","Cell division cycle 14, S. cerevisiae, homolog A",603504,"Deafness, autosomal recessive 105",616958,AR,-,CDC14A
"GPR88, STRG, COCPMR",G protein-coupled receptor 88,607468,"?Chorea, childhood-onset, with psychomotor retardation",616939,AR,mutation identified in 1 COCPMR family,GPR88
"COL11A1, STL2","Collagen XI, alpha-1 polypeptide",120280,Fibrochondrogenesis 1,228520,AR,-,COL11A1
"COL11A1, STL2","Collagen XI, alpha-1 polypeptide",120280,Marshall syndrome,154780,AD,-,COL11A1
"COL11A1, STL2","Collagen XI, alpha-1 polypeptide",120280,"Stickler syndrome, type II",604841,AD,-,COL11A1
"COL11A1, STL2","Collagen XI, alpha-1 polypeptide",120280,"{Lumbar disc herniation, susceptibility to}",603932,-,-,COL11A1
"SLC25A24, SCAMC1","Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24",608744,Fontaine progeroid syndrome,612289,AD,-,SLC25A24
"GPSM2, LGN, PINS, DFNB82, CMCS",G protein signaling modulator 2,609245,Chudley-McCullough syndrome,604213,AR,-,GPSM2
"TAF13, TAF2K, MRT60","TAF13 RNA polymerase II, TATA box-binding protein-associated factor, 18kD",600774,"Mental retardation, autosomal recessive 60",617432,AR,-,TAF13
"SARS, SERS, NEDMAS",Seryl-tRNA synthetase,607529,"?Neurodevelopmental disorder with microcephaly, ataxia, and seizures",617709,AR,mutation identified in 1 NEDMAS family,SARS
"SORT1, NT3, LDLCQ6",Sortilin,602458,[Low density lipoprotein cholesterol level QTL6],613589,AD,-,SORT1
"GNAI3, ARCND1","Guanine nucleotide-binding protein (G-protein), alpha-inhibiting activity polypeptide-3",139370,Auriculocondylar syndrome 1,602483,AD,-,GNAI3
"GNAT2, ACHM4","Guanine nucleotide-binding protein (G-protein), alpha-transducing (transducin) activity polypeptide-2",139340,Achromatopsia 4,613856,-,-,GNAT2
"AMPD2, SPG63, PCH9","Adenosine monophosphate deaminase-2, isoform L",102771,?Spastic paraplegia 63,615686,AR,mutation identified in 1 SPG63 family,AMPD2
"AMPD2, SPG63, PCH9","Adenosine monophosphate deaminase-2, isoform L",102771,"Pontocerebellar hypoplasia, type 9",615809,AR,-,AMPD2
"ALX3, FND1",Aristaless-like homeobox 3,606014,Frontonasal dysplasia 1,136760,AR,-,ALX3
"SLC6A17, NTT4, MRT48","Solute carrier family 6 (neurotransmitter transporter), member 17",610299,"Mental retardation, autosomal recessive 48",616269,AR,-,SLC6A17
"KCNA2, EIEE32","Potassium channel, voltage-gated, Shaker-related subfamily, member 2",176262,"Epileptic encephalopathy, early infantile, 32",616366,AD,-,KCNA2
"DRAM2, TMEM77, CORD21",Damage-regulated autophagy modulator 2,613360,Cone-rod dystrophy 21,616502,AR,-,DRAM2
"KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9","Potassium voltage-gated channel, Shal-related subfamily, member 3",605411,Brugada syndrome 9,616399,AD,-,KCND3
"KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9","Potassium voltage-gated channel, Shal-related subfamily, member 3",605411,Spinocerebellar ataxia 19,607346,AD,-,KCND3
"SLC16A1, MCT1, HHF7, MCT1D","Solute carrier family 16 (monocarboxylic acid transporters), member 1",600682,Erythrocyte lactate transporter defect,245340,AD,-,SLC16A1
"SLC16A1, MCT1, HHF7, MCT1D","Solute carrier family 16 (monocarboxylic acid transporters), member 1",600682,"Hyperinsulinemic hypoglycemia, familial, 7",610021,AD,-,SLC16A1
"SLC16A1, MCT1, HHF7, MCT1D","Solute carrier family 16 (monocarboxylic acid transporters), member 1",600682,Monocarboxylate transporter 1 deficiency,616095,"AD,AR",-,SLC16A1
"LRIG2, LIG2, KIAA0806, UFS2",Leucine-rich repeats- and immunoglobulin-like domains-containing protein 2,608869,Urofacial syndrome 2,615112,AR,-,LRIG2
"PTPN22, PEP, PTPN8, LYP","Protein tyrosine phosphatase, nonreceptor-type 22",600716,"{Diabetes, type 1, susceptibility to}",222100,AR,-,PTPN22
"PTPN22, PEP, PTPN8, LYP","Protein tyrosine phosphatase, nonreceptor-type 22",600716,"{Rheumatoid arthritis, susceptibility to}",180300,-,-,PTPN22
"PTPN22, PEP, PTPN8, LYP","Protein tyrosine phosphatase, nonreceptor-type 22",600716,{Systemic lupus erythematosus susceptibility to},152700,AD,-,PTPN22
"AP4B1, SPG47, CPSQ5","Adaptor-related protein complex 4, beta-1 subunit",607245,"Spastic paraplegia 47, autosomal recessive",614066,AR,-,AP4B1
"AMPD1, MMDD","Adenosine monophosphate deaminase-1, muscle",102770,Myopathy due to myoadenylate deaminase deficiency,615511,AR,-,AMPD1
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic",614470,-,cen-CD2-NGFB-NRAS,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Colorectal cancer, somatic",114500,-,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Epidermal nevus, somatic",162900,-,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Melanocytic nevus syndrome, congenital, somatic",137550,-,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Neurocutaneous melanosis, somatic",249400,-,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,Noonan syndrome 6,613224,AD,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic",163200,-,-,NRAS
"NRAS, ALPS4, NS6, CMNS, NCMS",Neuroblastoma RAS viral (v-ras) oncogene homolog,164790,"Thyroid carcinoma, follicular, somatic",188470,-,-,NRAS
"TSHB, CHNG4","Thyroid-stimulating hormone, beta polypeptide",188540,"Hypothyroidism, congenital, nongoitrous 4",275100,AR,centromeric to NGFB,TSHB
"NGF, NGFB, HSAN5","Nerve growth factor, beta",162030,"Neuropathy, hereditary sensory and autonomic, type V",608654,AR,same 310kb fragment as TSHB; order: cen-CD2-CD58-ATP1A1-NGF-TSHB-NRAS-tel,NGF
"VANGL1, STBM2",Vang-like 1,610132,Caudal regression syndrome,600145,AD,-,VANGL1
"VANGL1, STBM2",Vang-like 1,610132,"{Neural tube defects, susceptibility to}",182940,AD,-,VANGL1
CASQ2,"Calsequestrin, fast-twitch, skeletal muscle-2",114251,"Ventricular tachycardia, catecholaminergic polymorphic, 2",611938,AR,-,CASQ2
"IGSF3, LCDD","Immunoglobulin superfamily, member 3",603491,?Lacrimal duct defect,149700,AR,mutation identified in 1 LCDD family,IGSF3
TBX15,T-box 15,604127,Cousin syndrome,260660,AR,-,TBX15
"WARS2, NEMMLAS",Tryptophanyl-tRNA synthetase 2,604733,"Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures",617710,AR,-,WARS2
HSD3B2,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase, type 2 (adrenal, gonadal)",613890,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",201810,AR,-,HSD3B2
"PHGDH, NLS1, PHGDHD",Phosphoglycerate dehydrogenase,606879,Neu-Laxova syndrome 1,256520,AR,-,PHGDH
"PHGDH, NLS1, PHGDHD",Phosphoglycerate dehydrogenase,606879,Phosphoglycerate dehydrogenase deficiency,601815,AR,-,PHGDH
HMGCS2,"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2, mitochondrial",600234,HMG-CoA synthase-2 deficiency,605911,AR,-,HMGCS2
"NOTCH2, AGS2, HJCYS","Notch, Drosophila, homolog of, 2",600275,Alagille syndrome 2,610205,AD,-,NOTCH2
"NOTCH2, AGS2, HJCYS","Notch, Drosophila, homolog of, 2",600275,Hajdu-Cheney syndrome,102500,AD,-,NOTCH2
"DEL1q21, C1DELq21",Chromosome 1q21.1 deletion syndrome,612474,Chromosome 1q21.1 deletion syndrome,612474,"AD,IC",contiguous gene deletion syndrome,DEL1q21
"DUP1q21, C1DUPq21",Chromosome 1q21.1 duplication syndrome,612475,Chromosome 1q21.1 duplication syndrome,612475,"AD,IC",contiguous gene duplication syndrome,DUP1q21
"PEX11B, PEX14B",Peroxisome biogenesis 11B,603867,?Peroxisome biogenesis disorder 14B,614920,AR,mutation identified in 1 PEX14B patient,PEX11B
"RBM8A, RBM8B, TAR, C1DELq21.1, DEL1q21.1",RNA-binding motif protein 8A,605313,Thrombocytopenia-absent radius syndrome,274000,AR,pseudogene on chr.14,RBM8A
"HJV, HFE2A",Hemojuvelin,608374,"Hemochromatosis, type 2A",602390,AR,between D1S442 and D1S2347,HJV
"GJA5, CX40, ATFB11","Gap junction protein, alpha-5, 40kD (connexin 40)",121013,"Atrial fibrillation, familial, 11",614049,AD,-,GJA5
"GJA5, CX40, ATFB11","Gap junction protein, alpha-5, 40kD (connexin 40)",121013,"Atrial standstill, digenic (GJA5/SCN5A)",108770,AD,-,GJA5
"GJA8, CX50, CTRCT1, CZP1, CAE1",Gap junction membrane channel protein alpha-8 (connexin 50),600897,"Cataract 1, multiple types",116200,AD,-,GJA8
"SF3B4, SF3B49, SAP49, AFD1","Splicing factor 3B, subunit 4",605593,"Acrofacial dysostosis 1, Nager type",154400,AD,-,SF3B4
"VPS45A, VPS45, SCN5","Vacuolar protein sorting 45, yeast, homolog of, A",610035,"Neutropenia, severe congenital, 5, autosomal recessive",615285,AR,-,VPS45A
"PRPF3, HPRP3, RP18","Precursor mRNA-processing factor 3, S. cerevisiae, homolog of",607301,Retinitis pigmentosa 18,601414,AD,-,PRPF3
"TARS2, COXPD21",Threonyl-tRNA synthetase 2,612805,?Combined oxidative phosphorylation deficiency 21,615918,AR,mutation identified in one COXPD21 family,TARS2
"ECM1, URBWD",Extracellular matrix protein-1,602201,Urbach-Wiethe disease,247100,AR,-,ECM1
"ADAMTSL4, TSRC1, ECTOL2",ADAMTS-like 4,610113,Ectopia lentis et pupillae,225200,AR,-,ADAMTSL4
"ADAMTSL4, TSRC1, ECTOL2",ADAMTS-like 4,610113,"Ectopia lentis, isolated, autosomal recessive",225100,AR,-,ADAMTSL4
CTSK,Cathepsin K,601105,Pycnodysostosis,265800,AR,-,CTSK
"PRUNE1, DRES17, NMIHBA",Prune exopolyphosphatase 1,617413,"Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies",617481,AR,-,PRUNE1
"ZNF687, KIAA1441, PDB6",Zinc finger protein 687,610568,Paget disease of bone 6,616833,AD,fused with AML1 in t(1;21),ZNF687
RFX5,"Regulatory factor X, 5 (influences HLA class II expression)",601863,"Bare lymphocyte syndrome, type II, complementation group C",209920,AR,-,RFX5
RFX5,"Regulatory factor X, 5 (influences HLA class II expression)",601863,"Bare lymphocyte syndrome, type II, complementation group E",209920,AR,-,RFX5
"POGZ, KIAA0461, MRD37, WHSUS",POGO transposable element with ZNF domain,614787,White-Sutton syndrome,616364,AD,-,POGZ
"RORC, RORG, RZRG, IMD42",RAR-related orphan receptor C,602943,Immunodeficiency 42,616622,AR,-,RORC
"TCHH, THH, THL, TRHY, UHS3",Trichohyalin,190370,?Uncombable hair syndrome 3,617252,AR,mutation identified in 1 UHS3 patient,TCHH
"FLG, ATOD2",Filaggrin,135940,Ichthyosis vulgaris,146700,AD,-,FLG
"FLG, ATOD2",Filaggrin,135940,"{Dermatitis, atopic, susceptibility to, 2}",605803,-,-,FLG
LOR,Loricrin,152445,Vohwinkel syndrome with ichthyosis,604117,AD,-,LOR
"GATAD2B, KIAA1150, p68, MRD18",GATA zinc finger domain-containing protein 2B,614998,"Mental retardation, autosomal dominant 18",615074,AD,-,GATAD2B
"RPS27, MPS1, DBA17",Ribosomal protein S27,603702,?Diamond-Blackfan anemia 17,617409,AD,mutation identified in 1 DBA17 patient,RPS27
