Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
Juvenile myoclonic epilepsy,青少年肌阵挛癫痫,254770;604827;607628;607682;608816;611136;611364;613060;614280,Juvenile myoclonic epilepsy,,,常染色体隐形遗传，脑电图，广泛性多棘波，癫痫持续状态，早晨肌阵挛样抽动，全面性强直-阵挛发作，常染色体显性遗传，失神发作，伴多棘慢复合波，青少年性发病，常染色体显性遗传，异质性的，高热惊厥，表型多样性,AD,,
Juvenile absence epilepsy,少年型失神性癫痫,607631,Juvenile absence epilepsy,,,脑电图，（快）棘慢复合波（> 3.5赫兹），失神发作，常染色体显性遗传，全身性肌阵挛发作,,,
Von Hippel-Lindau disease,希林二氏病，脑视网膜血管瘤病,193300,Von Hippel-Lindau disease,,,多囊性肾发育不全，肾脏异常，多囊性肾发育不良，脑积水，感音神经性耳聋，视觉障碍，眼球震颤，感觉神经病，共济失调，步态不稳，胰腺囊肿，恶心和呕吐，偏头痛，神经语言障碍，偏瘫/轻偏瘫，毛细血管瘤，肾细胞癌，小脑发育缺陷/发育不全，视网膜脉管系统的异常，视网膜血管母细胞瘤，附睾乳头状囊腺瘤，动静脉畸形，皮肤毛细血管扩张症，脑血管系统的异常，血管瘤，内脏血管瘤病,AD,,
Familial advanced sleep-phase syndrome,家族性睡眠时相延迟综合征,616882;604348;615224,Familial advanced sleep-phase syndrome,,,常染色体显性遗传，睡眠-觉醒周期紊乱，抑郁,AD,,
Autosomal recessive polycystic kidney disease,常染色体隐性遗传性多囊性肾脏病,263200,Autosomal recessive polycystic kidney disease,,,肾功能不全，小下颌畸形，低位后旋转耳，巨耳畸形，鼻嵴凹陷，胆道异常，肝囊肿，胰腺囊肿，呼吸功能不全，先天性肝纤维化，多发性肾囊肿，肾发育低下/不全，耳软骨发育不全,AR,,
CHARGE syndrome,眼缺损，心脏异常，后鼻孔闭锁，障碍综合征,214800,CHARGE syndrome,,,女性内生殖器异常，隐睾，低促性腺素性功能减退症，阴囊裂，阴唇发育不良，嘴巴狭窄，腭裂，上唇裂，脸狭窄，面部不对称，内耳异常，听力障碍，低位后旋转耳，耳轮过度卷曲，鼻后孔闭锁，嗅觉丧失，斜视，上睑下垂，无眼畸形，脉络膜视网膜缺损，小眼畸形，虹膜缺损，眼球震颤，视神经萎缩，牙齿萌出延迟，孤独症，强迫行为，垂体前叶功能减退症，智力残疾，肌张力减退，羊水过多，法洛四联症，动脉导管未闭，主动脉瓣异常，心中隔异常，胃食管反流，心脏和大血管畸形，主动脉弓扩张，鼻梁凹陷，注意力缺陷多动障碍，外耳畸形，阴茎发育不良，耳垂发育缺陷/不全，面部神经麻痹，下巴浅凹，主动脉弓断离，软腭异常,AD,,
Marfan syndrome,马方综合征,610168;154700,Marfan syndrome,,,鸡胸，萎缩纹，细长指(趾)，不成比例的高挑身材，修长的身材，扁平足，自发性气胸，升主动脉扩张，慢性疲劳，脸狭窄，视觉障碍，近视，牙齿排列过挤，漏斗胸，晶状体异位，晶状体半脱位，关节过度活动，二尖瓣脱垂，睡眠障碍，脊柱侧弯，腭高而窄，髋臼内陷，关节痛/关节炎，眼球轴长度增加，晶状体脱位，颧骨异常，硬脑膜扩张,AD,,
Familial mesial temporal lobe epilepsy with febrile seizures,家族性颞叶内侧癫痫伴热性惊厥,614418,Familial mesial temporal lobe epilepsy with febrile seizures,,,高热惊厥，全面性强直-阵挛发作，常染色体隐形遗传,AR,,
Amyotrophic lateral sclerosis,肌萎缩侧索硬化症,614808;615426;615515;616208;616437;105400;205250;300857;606070;606640;608030;608031;608627;611895;612069;612577;613435;613954;614696,Amyotrophic lateral sclerosis,,,肌萎缩侧索硬化，神经退行性疾病，广泛肌无力，运动神经元萎缩，口腔干燥，情绪不稳，抑郁，焦虑，痉挛状态，呼吸困难，功能性呼吸异常，呼吸衰竭，肌萎缩，肌肉痉挛，瘫痪，疲倦，疼痛，口咽部肌肉易于疲乏无力，吞咽肌肉易于疲乏无力，呼吸肌易于疲乏无力,"AD,AR",,
Ataxia-telangiectasia,共济失调性毛细血管扩张症,208900;208910,Ataxia-telangiectasia,,,多囊卵巢，斜视，眼球运动异常，眼球震颤，糖尿病，青春期延迟，癫痫发作，共济失调，痉挛状态，构音障碍，步态不稳，震颤，淋巴细胞减少症，神经语言障碍，反复呼吸道感染，少年白，肿瘤，免疫系统异常，免疫缺陷，肝脏转氨酶升高，肌萎缩，染色体稳定性异常，低丙球蛋白血症，身材矮小，细胞免疫缺陷，毛发色素减退，早老面容，胸腺发育缺陷/不全，运动异常，粘膜毛细血管扩张症，皮肤毛细血管扩张症,AR,,
Familial adenomatous polyposis,家族性腺瘤性息肉病,175100,Familial adenomatous polyposis,,,肿瘤，结肠癌，多发性胃息肉，十二指肠息肉，腺瘤性结肠息肉,AD,,
Huntington disease,神经性舞蹈病,143100,Huntington disease,,,行为异常，痴呆，痉挛状态，声音异常，大脑皮层萎缩，脑电图异常，发育倒退，运动异常,AD,,
Lafora disease,拉福拉病,254780,Lafora disease,,,视力下降，代谢紊乱/稳态失衡，进行性神经功能恶化，常染色体隐形遗传，精神病，全身性肌阵挛发作，肌阵挛，视觉先兆，失用，失神发作，光感性皮肤，幻视，步态不稳，痴呆，肝功能衰竭,AR,,
Down syndrome,唐氏综合征,190685,Down syndrome,,,生育能力下降，巨舌，嘴巴狭窄，牙齿异常，厚下唇，上腭狭窄，张口，囟门和颅缝的异常，短头畸形，内眦赘皮，鼻嵴凹陷，短颈，颈部皮肤皱褶冗赘，睑裂上斜，小牙畸形，短指畸形综合征，智力残疾，肌张力减退，关节松弛，肥胖，脐疝，趾指畸形，发育倒退，心脏和大血管畸形，嘴部异常，短鼻，小手指屈指畸形，鼻梁凹陷，早老面容，双侧单掌横折痕，舌头过长，免疫系统生理机制的异常，脸部扁平，淋巴系统异常，圆耳,,,
Metachromatic leukodystrophy,异染性脑白质营养不良,156310;249900;250100,Metachromatic leukodystrophy,,,眼球震颤，视神经萎缩，行为异常，神经传导速度降低，智力残疾，癫痫发作，共济失调，肌张力减退，痉挛状态，昏迷，步态不稳，腱反射减低，肌无力，反射亢进，关节僵硬，神经语言障碍，发育倒退，膝反屈，周围神经病，一时性黑蒙,AR,,
"Multiple epiphyseal dysplasia, Beighton type",多发性骨骺发育不良，Beighton 型,132450,"Multiple epiphyseal dysplasia, Beighton type",,,嘴巴狭窄，圆脸，传导性听力障碍，白内障，近视，无甲症，骨骺发育不良，膝外翻，短掌，视网膜发育不良，脸部扁平,AD,,
"Multiple epiphyseal dysplasia, Lowry type",多发性骨骺发育不良，Lowry 型,601560,"Multiple epiphyseal dysplasia, Lowry type",,,腭裂，眼距过宽，小下颌畸形，宽鼻尖，睑裂上斜，脊柱侧弯，骨骺发育不良，膝外翻，肘关节脱位，扁平骨骺，肢体短缩，骨骨化异常,,,
22q11.2 deletion syndrome,22q11.2微缺失综合征,188400;192430,22q11.2 deletion syndrome,,,平颧骨，内眦赘皮，长人中，低位耳，小耳垂，耳轮过度卷曲，鼻梁突出，宽鼻梁，短颈，上睑下垂，睑裂上斜，后胚胎环，胸腺发育不全，颅骨异常，手足抽搐，房间隔缺陷，法洛四联症，肺动脉瓣异常，肾发育低下，牙齿异常，腭裂，长脸，听力障碍，慢性化脓性中耳炎，传导性听力障碍，蒜头鼻，眼睑异常，内眦距过宽，咽部异常，龋齿，甲状旁腺功能减退症，脂溢性皮炎，青春痘，细长指(趾)，肌张力减退，轻度智力残疾，全面发育迟缓，特定的学习障碍，鼻音很重，室间隔缺损，动脉干，面部形状异常，便秘，语言障碍，脑脊膜膨出，心脏和大血管畸形，颅底扁平症，免疫缺陷，低钙血症，肌痛，身材矮小，受损的T细胞功能，注意力缺陷多动障碍，枕脊髓脊膜膨出，角膜新生血管，主动脉弓异常，肛肠异常，扁桃体异常,AD,,
Sickle cell anemia,镰状细胞性贫血,603903,Sickle cell anemia,,,慢性溶血性贫血，溶血性贫血，反复感染，疼痛，骨质疏松，脾脏异常，缺铁性贫血，血小板增多，网状细胞过多，白细胞增多，骨髓炎，无菌性骨坏死，胆色素胆结石，胸痛,AR,,
Selective pituitary resistance to thyroid hormone,选择性垂体抗甲状腺激素,145650,Selective pituitary resistance to thyroid hormone,,,常染色体显性遗传，促甲状腺激素产生过多，甲状腺功能亢进症，甲状腺激素受体缺陷,AD,,
Multiple epiphyseal dysplasia due to collagen 9 anomaly,由胶原异常引发的多发性骨骺发育不良9,600204;600969;614135,Multiple epiphyseal dysplasia due to collagen 9 anomaly,,,步态不稳，关节活动受限，髋关节发育不良，关节炎，关节疼痛，短肢，身材矮小，骨骺异常,,,
Oculocerebrorenal syndrome of Lowe,,309000,,,,隐睾，肾功能不全，肾小管异常，蛋白尿，长脸，脸颊丰满，低位后旋转耳，招风耳，眼睛深陷，青光眼，白内障，Buphthalmos，瞳孔异常，眼球震颤，弱视，抑郁，强迫行为，刻板行为，焦虑，甲状旁腺功能亢进症，智力残疾，癫痫发作，神经反射消失，新生儿张力减退，关节炎，关节肿胀，未能茁壮成长，声音异常，血小板减少，脱水，前额突出，便秘，近端肾小管酸中毒，巨脑室，高钙尿症，阵挛，脱发，绒毛，脑电图异常，语言障碍，脊柱侧弯，软骨病，复发性骨折，低钾血症，低钠血症，氨基酸尿，身材矮小，关节过度屈曲，注意力缺陷多动障碍，泛发性色素减退，皮肤肿瘤，婴儿期喂养困难，维生素D缺乏症，磷酸钙代谢异常，自伤行为，肾小球病，中枢神经系统的良性肿瘤,XL,,
Retinoblastoma,眼癌（有遗传性）,180200,Retinoblastoma,,,松果体瘤，玻璃体炎，尤因氏肉瘤，视网膜母细胞瘤，体细胞突变，玻璃体出血，散发的，腭裂，白瞳症，常染色体显性遗传，白血病，骨肉瘤，视网膜钙化，淋巴瘤,AD,,
Exercise-induced hyperinsulinism,运动引起的高胰岛素血症,610021,Exercise-induced hyperinsulinism,,,常染色体显性遗传，低血糖发作，异质性的，低血糖昏迷，高胰岛素性低血糖，胰岛细胞增生,,,
Multiple endocrine neoplasia type 1,多发性内分泌瘤病1型,131100,Multiple endocrine neoplasia type 1,,,内分泌系统异常，甲状旁腺功能亢进症，甲状旁腺腺瘤，高钙血症，血甲状旁腺激素（PTH）水平升高，甲状旁腺增生，胰腺生理功能异常，高胰岛素性低血糖，生长激素增多，甲状腺腺瘤，多发性脂肪瘤，皮下脂肪瘤，腹泻，Zollinger-Ellison 综合征，阵发性腹痛，垂体腺瘤，胃溃疡，垂体泌乳素细胞瘤，肾上腺皮质腺瘤，空腹高胰岛素血症，血管纤维瘤，垂体生长激素腺瘤，垂体无特征细胞腺瘤，胰岛素瘤，食管炎，神经内分泌肿瘤,,,
Fragile X syndrome,脆[性]X综合征,300624,Fragile X syndrome,,,巨大睾丸，鼻窦炎，大头畸形，脸狭窄，长脸，下颌前突畸形，中耳炎，慢性化脓性中耳炎，招风耳，肌张力减退，关节松弛，扁平足，大额头，前额突出，胃食管反流，神经语言障碍，中度智力残疾，叶酸依赖脆性位点Xq28，注意力缺陷多动障碍,,,
Rheumatic fever,风湿热,268240,Rheumatic fever,,,鼻窦炎，苍白圈，关节炎，皮下结节，二尖瓣异常，主动脉瓣异常，发热，恶心和呕吐，腹痛，厌食症，舞蹈样运动，关节疼痛，心律失常，疲倦，斑疹，心肌炎，心内膜炎，胸痛，复发性咽炎,,,
Prader-Willi syndrome,Prader-Willi综合征,176270;615547,Prader-Willi syndrome,,,隐睾，低促性腺素性功能减退症，高腭，小头畸形，斜视，下斜睑裂，内眦距过宽，牙釉质异常，行为异常，短指畸形综合征，智力残疾，癫痫发作，共济失调，肌张力减退，全面发育迟缓，特定的学习障碍，胎儿宫内发育迟缓，肥胖，脊柱侧弯，嘴部异常，骨骼成熟延迟，小手指屈指畸形，短掌，身材矮小，双侧单掌横折痕，阴茎发育不良，毛发分布异常，1型糖尿病，耳软骨发育不全，肾小球病,,,
X-linked agammaglobulinemia,X-连锁无丙种球蛋白血症,300310;300755,X-linked agammaglobulinemia,,,舌后坠，鼻窦炎，慢性化脓性中耳炎，感音神经性耳聋，结膜炎，皮疹，脑膜炎，关节炎，未能茁壮成长，中性粒细胞减少，发热，慢性腹泻，肺部异常，免疫缺陷，低钙血症，身材矮小，丙种球蛋白缺乏血症，反复肺炎，疲倦，蜂窝织炎，淋巴系统异常，扁桃体异常，脓毒症，复发性皮肤脓肿，皮肤溃疡,,,
Mucopolysaccharidosis type 2,粘多糖贮积症2型,309900,,Mucopolysaccharidosis II,粘多糖贮积症2型,腹股沟疝，厚下唇，大头畸形，长头畸形，面容粗糙，下颌前突畸形，听力障碍，反复发作型中耳炎，鼻嵴凹陷，短颈，视神经萎缩，牙间隙增宽，行为异常，漏斗胸，皮肤增厚，视乳头水肿，癫痫发作，脐疝，心血管系统异常，脾肿大，吸收不良，极重度智力残疾，全身性多毛症，髋骨异常，严重的身材矮小，鼻梁凹陷，视网膜色素沉着异常，粘多糖尿症,,,
Mucopolysaccharidosis type 1,粘多糖贮积症1型,607014;607015;607016,Mucopolysaccharidosis type 1,,,腹股沟疝，厚下唇，牙龈增生，下唇唇红外翻，鼻窦炎，大头畸形，长头畸形，脸部异常，面容粗糙，脸颊丰满，前发际低，听力障碍，慢性化脓性中耳炎，感音神经性耳聋，视网膜病变，青光眼，牙间隙增宽，小牙畸形，干骺端异常，手劈裂，智力残疾，关节僵硬，声音异常，脾肿大，吸收不良，呼吸暂停，反复呼吸道感染，全身性多毛症，发育倒退，脊柱侧弯，关节疼痛，髋骨异常，椎体形态异常，感觉异常，身材矮小，鼻形态异常，鼻梁凹陷，骨骺异常，角膜混浊，粘多糖尿症，厚鼻翼，咳嗽，扩张的胸廓，扁桃体异常，疝气,,,
Wilson disease,肝豆状核变性,277900,Wilson disease,,,月经周期异常，抑郁，攻击性行为，黄疸，瘀斑易感性，瘙痒，手的异常，智力残疾，构音障碍，关节炎，关节肿胀，肝硬化，肝脂肪变性，未能茁壮成长，脾肿大，体重减轻，血小板减少，贫血，肝脏肿大，笨拙，行走困难，骨痛，病理性骨折，关节疼痛，肝脏转氨酶升高，背痛疼痛，体重增加，急性肝功能衰竭，下肢近端肌无力，肝炎，性欲亢进，角膜色素环，急性肝炎,,,
X-linked retinoschisis,X连锁视网膜劈裂,312700,X-linked retinoschisis,,,眼部异常，眼球运动异常，青光眼，视力异常，视网膜电流图异常，白内障，视网膜劈裂症,,,
